D1_DI_CS,D1_DI_CW,D1_DI_GA,D1_DI_OS,D1_ST_CS,D1_ST_CW,D1_ST_GA,D1_ST_OS,D2_DI_CW,D2_DI_FB,D2_DI_GA,D2_DI_OW,D2_ST_CW,D2_ST_FB,D2_ST_GA,D2_ST_OW,D3_DI_CS,D3_DI_CW,D3_DI_FB,D3_DI_GA,D3_DI_LG,D3_DI_MZ,D3_DI_OS,D3_DI_OW,D3_DI_PF,D3_DI_PS,D3_DI_SB,D3_DI_VB,D3_DI_VL,D3_DI_VR,D4_PO_CS,D4_PO_CW,D4_PO_FB,D4_PO_GA,D4_PO_LG,D4_PO_MZ,D4_PO_OS,D4_PO_OW,D4_PO_PF,D4_PO_PS,D4_PO_SB,D4_PO_VB,D4_PO_VL,D4_ST_CS,D4_ST_CW,D4_ST_FB,D4_ST_GA,D4_ST_LG,D4_ST_MZ,D4_ST_OS,D4_ST_OW,D4_ST_PF,D4_ST_PS,D4_ST_SB,D4_ST_VB,D4_ST_VL,D5_PO_CS,D5_PO_CW,D5_PO_GA,D5_PO_LG,D5_PO_MZ,D5_PO_OS,D5_PO_OW,D5_PO_PF,D5_PO_SU,D5_ST_CS,D5_ST_CW,D5_ST_GA,D5_ST_LG,D5_ST_MZ,D5_ST_OS,D5_ST_OW,D5_ST_PF,D5_ST_SU,D6_DI_CI,D6_DI_CO,D6_DI_CW,D6_DI_FB,D6_DI_LG,D6_DI_MZ,D6_DI_OL,D6_DI_PS,D6_DI_VB,D6_DI_VF,D6_DI_VI,D6_DI_VL,D6_DI_VR
1982,1982,1982,1982,1982,1982,1982,1982,1986,1986,1986,1986,1986,1986,1986,1986,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986
0.30288,0.30284,0.30043,0.30288,0.34397,0.34321,0.30589,0.34396,0.31935,0.31941,0.31831,0.31921,0.75177,0.75314,0.72606,0.74814,0.30610,0.30604,0.30563,0.30472,0.30610,0.30593,0.30514,0.30543,0.30469,0.30627,0.30550,0.30624,0.30637,0.30625,1.0026,1.0027,1.0026,1.0020,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,0.41622,0.41651,0.41622,0.36878,0.41622,0.41622,0.41621,0.41607,0.41570,0.41621,0.41612,0.41622,0.41622,1.0023,1.0023,1.0019,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,0.37589,0.37581,0.34852,0.37589,0.37589,0.37589,0.37459,0.37589,0.37589,0.30137,0.30186,0.30137,0.30186,0.30186,0.30186,0.30137,0.30186,0.30214,0.30186,0.30137,0.30186,0.30186
0.30253,0.30253,0.30043,0.30253,0.33777,0.33776,0.30589,0.33777,0.30514,0.30520,0.30465,0.30500,0.38965,0.39107,0.37887,0.38664,0.30652,0.30645,0.30600,0.30495,0.30652,0.30635,0.30544,0.30579,0.30494,0.30669,0.30586,0.30667,0.30679,0.30667,1.0027,1.0027,1.0027,1.0021,1.0027,1.0027,1.0027,1.0027,1.0027,1.0027,1.0027,1.0027,1.0027,0.40975,0.40996,0.40975,0.36882,0.40975,0.40975,0.40975,0.40941,0.40904,0.40975,0.40951,0.40975,0.40975,1.0024,1.0024,1.0021,1.0024,1.0024,1.0024,1.0024,1.0024,1.0024,0.37121,0.37129,0.35011,0.37121,0.37121,0.37121,0.37012,0.37121,0.37121,0.30137,0.30655,0.30137,0.30656,0.30656,0.30655,0.30137,0.30657,0.30211,0.30656,0.30137,0.30654,0.30753
0.30237,0.30235,0.30043,0.30237,0.33510,0.33478,0.30589,0.33509,0.30386,0.30388,0.30348,0.30381,0.36226,0.36267,0.35488,0.36143,0.30675,0.30670,0.30628,0.30524,0.30675,0.30659,0.30575,0.30608,0.30524,0.30691,0.30615,0.30689,0.30701,0.30689,1.0026,1.0026,1.0026,1.0021,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,0.40212,0.40297,0.40212,0.36870,0.40212,0.40212,0.40211,0.40162,0.40111,0.40211,0.40156,0.40212,0.40212,1.0023,1.0023,1.0021,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,0.36507,0.36549,0.35033,0.36507,0.36507,0.36507,0.36461,0.36507,0.36507,0.30137,0.31142,0.30137,0.31143,0.31142,0.31142,0.30137,0.31143,0.30650,0.31143,0.30137,0.31142,0.31176
0.30207,0.30207,0.30043,0.30207,0.33013,0.33012,0.30589,0.33013,0.30908,0.30910,0.30739,0.30891,0.48696,0.48753,0.44353,0.48259,0.30687,0.30684,0.30644,0.30548,0.30687,0.30672,0.30595,0.30627,0.30548,0.30702,0.30633,0.30702,0.30710,0.30702,1.0025,1.0025,1.0025,1.0021,1.0025,1.0025,1.0025,1.0025,1.0025,1.0025,1.0025,1.0025,1.0025,0.39532,0.39559,0.39532,0.36701,0.39532,0.39532,0.39532,0.39532,0.39488,0.39532,0.39516,0.39532,0.39532,1.0022,1.0022,1.0020,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,0.35905,0.35948,0.34853,0.35905,0.35905,0.35905,0.35882,0.35905,0.35905,0.30137,0.31055,0.30137,0.31055,0.31055,0.31055,0.30137,0.31055,0.30852,0.31055,0.30137,0.31054,0.31077
0.30194,0.30194,0.30043,0.30194,0.32807,0.32805,0.30589,0.32806,0.30409,0.30411,0.30372,0.30405,0.36709,0.36753,0.35963,0.36618,0.30694,0.30687,0.30650,0.30562,0.30693,0.30679,0.30605,0.30635,0.30562,0.30704,0.30641,0.30702,0.30713,0.30702,1.0024,1.0024,1.0024,1.0021,1.0024,1.0024,1.0024,1.0024,1.0024,1.0024,1.0024,1.0024,1.0024,0.38876,0.38967,0.38876,0.36479,0.38876,0.38876,0.38877,0.38896,0.38789,0.38876,0.38853,0.38876,0.38876,1.0021,1.0021,1.0020,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,0.35380,0.35448,0.34563,0.35380,0.35380,0.35380,0.35375,0.35380,0.35380,0.30137,0.30910,0.30137,0.30910,0.30910,0.30910,0.30137,0.30911,0.30813,0.30910,0.30137,0.30910,0.30923
0.30175,0.30175,0.30043,0.30175,0.32498,0.32506,0.30589,0.32498,0.30865,0.30868,0.30716,0.30846,0.47584,0.47672,0.43776,0.47099,0.30695,0.30687,0.30653,0.30569,0.30695,0.30679,0.30610,0.30637,0.30569,0.30705,0.30642,0.30702,0.30712,0.30702,1.0023,1.0023,1.0023,1.0020,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,1.0023,0.38272,0.38327,0.38272,0.36218,0.38272,0.38272,0.38272,0.38282,0.38247,0.38272,0.38263,0.38272,0.38272,1.0021,1.0021,1.0019,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,0.35023,0.35104,0.34279,0.35023,0.35023,0.35023,0.35016,0.35023,0.35023,0.30137,0.31008,0.30137,0.31008,0.31008,0.31007,0.30137,0.31008,0.30954,0.31008,0.30137,0.31007,0.31073
0.30159,0.30159,0.30043,0.30159,0.32259,0.32261,0.30589,0.32259,0.31232,0.31236,0.31210,0.31226,0.57235,0.57318,0.56642,0.57061,0.30694,0.30689,0.30656,0.30569,0.30694,0.30679,0.30612,0.30640,0.30570,0.30705,0.30642,0.30702,0.30713,0.30702,1.0023,1.0023,1.0023,1.0020,1.0023,1.0023,1.0023,1.0023,1.0022,1.0023,1.0023,1.0023,1.0023,0.37747,0.37818,0.37747,0.35949,0.37747,0.37747,0.37746,0.37779,0.37709,0.37747,0.37732,0.37747,0.37747,1.0020,1.0020,1.0019,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,0.34762,0.34807,0.34010,0.34762,0.34762,0.34762,0.34727,0.34762,0.34762,0.30137,0.31645,0.30137,0.31645,0.31645,0.31645,0.30137,0.31645,0.31650,0.31645,0.30137,0.31644,0.31705
0.30158,0.30158,0.30043,0.30158,0.32247,0.32247,0.30589,0.32247,0.31228,0.31232,0.31202,0.31224,0.57129,0.57220,0.56443,0.57003,0.30695,0.30695,0.30657,0.30576,0.30695,0.30683,0.30618,0.30643,0.30576,0.30710,0.30649,0.30707,0.30717,0.30707,1.0022,1.0022,1.0022,1.0019,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,1.0022,0.37331,0.37423,0.37331,0.35780,0.37331,0.37331,0.37331,0.37380,0.37278,0.37331,0.37315,0.37331,0.37331,1.0020,1.0020,1.0018,1.0020,1.0020,1.0020,1.0020,1.0020,1.0020,0.34479,0.34502,0.33778,0.34479,0.34479,0.34479,0.34442,0.34479,0.34479,0.30137,0.31906,0.30137,0.31906,0.31906,0.31906,0.30137,0.31906,0.31911,0.31906,0.30137,0.31906,0.31925
0.30153,0.30154,0.30043,0.30153,0.32158,0.32186,0.30589,0.32158,0.31579,0.31585,0.31560,0.31576,0.66258,0.66389,0.65761,0.66165,0.30695,0.30695,0.30659,0.30579,0.30695,0.30684,0.30620,0.30646,0.30583,0.30709,0.30649,0.30706,0.30716,0.30707,1.0021,1.0021,1.0021,1.0019,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,1.0021,0.36915,0.37029,0.36915,0.35577,0.36915,0.36915,0.36915,0.36984,0.36883,0.36915,0.36891,0.36915,0.36915,1.0019,1.0019,1.0018,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,0.34284,0.34314,0.33587,0.34284,0.34284,0.34284,0.34224,0.34284,0.34284,0.30137,0.31484,0.30137,0.31484,0.31484,0.31484,0.30137,0.31484,0.31488,0.31484,0.30137,0.31484,0.31494
